id,precio,estrellas,link
B07JNKJ23Z,PEN 440.79,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B07JNKJ23Z/
B0FVFL4J32,PEN 87.61,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B0FVFL4J32/
B0DL9R66M8,PEN 34.14,4.3 out of 5 stars,https://www.amazon.com/-/es/dp/B0DL9R66M8/
B0GJ5D2TWV,PEN 512.48,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B0GJ5D2TWV/
B07HKSN1L3,,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B07HKSN1L3/
B0FKV24X87,,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B0FKV24X87/
B0BRKQDS3S,PEN 81.97,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B0BRKQDS3S/
B07SPHSDRV,PEN 170.82,4.1 out of 5 stars,https://www.amazon.com/-/es/dp/B07SPHSDRV/
B08Y6CNY5B,PEN 116.14,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B08Y6CNY5B/
B0BRKQDS3S,PEN 81.97,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B0BRKQDS3S/
B07XZJJ2J1,PEN 379.25,4.1 out of 5 stars,https://www.amazon.com/-/es/dp/B07XZJJ2J1/
B0CSYHS6HD,PEN 194.73,4.2 out of 5 stars,https://www.amazon.com/-/es/dp/B0CSYHS6HD/
B08Y6CNY5B,PEN 116.14,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B08Y6CNY5B/
B0GF1FWVX2,PEN 102.48,4.1 out of 5 stars,https://www.amazon.com/-/es/dp/B0GF1FWVX2/
B07594HZ6Y,PEN 119.56,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B07594HZ6Y/
B083K35R9D,PEN 239.16,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B083K35R9D/
B0FDGJ485N,PEN 751.33,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0FDGJ485N/
B0DQPLWK5J,PEN 738.04,4.2 out of 5 stars,https://www.amazon.com/-/es/dp/B0DQPLWK5J/
B0BRXJVG1S,PEN 257.23,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B0BRXJVG1S/
B07GBDMF12,PEN 239.09,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B07GBDMF12/
B0DPQHM7M3,PEN 649.20,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B0DPQHM7M3/
B0GFWJPMK1,PEN 580.86,3.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0GFWJPMK1/
B0FM41RLJG,PEN 64.89,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B0FM41RLJG/
B0GZYFYTSG,PEN 88.81,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0GZYFYTSG/
B0D73FBF3H,PEN 112.73,4.0 out of 5 stars,https://www.amazon.com/-/es/dp/B0D73FBF3H/
B0FJXYXR5C,PEN 58.05,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B0FJXYXR5C/
B0DGJ5F42Q,PEN 290.44,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0DGJ5F42Q/
B0D4STT6C2,,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0D4STT6C2/
B08F57GSJ7,PEN 136.65,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B08F57GSJ7/
B0FY5Q2PL8,PEN 65.91,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B0FY5Q2PL8/
B0GVFCPNFN,PEN 239.16,5.0 out of 5 stars,https://www.amazon.com/-/es/dp/B0GVFCPNFN/
B08MYFM4DF,,4.8 out of 5 stars,https://www.amazon.com/-/es/dp/B08MYFM4DF/
B0856DR25W,PEN 256.24,4.0 out of 5 stars,https://www.amazon.com/-/es/dp/B0856DR25W/
B0FGJFM7PC,PEN 58.40,4.1 out of 5 stars,https://www.amazon.com/-/es/dp/B0FGJFM7PC/
B0F6CW482G,PEN 307.50,4.2 out of 5 stars,https://www.amazon.com/-/es/dp/B0F6CW482G/
B0H44TR79M,PEN 136.65,5.0 out of 5 stars,https://www.amazon.com/-/es/dp/B0H44TR79M/
B07WNZS2FR,PEN 239.16,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B07WNZS2FR/
B0G6Z7Y693,PEN 68.31,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B0G6Z7Y693/
B0DXKM74RR,PEN 546.55,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0DXKM74RR/
B0CVNDDBJG,PEN 338.28,4.3 out of 5 stars,https://www.amazon.com/-/es/dp/B0CVNDDBJG/
B0G24GCM7H,PEN 58.05,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B0G24GCM7H/
B0GR5H1ZWR,PEN 68.31,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0GR5H1ZWR/
B0FG39GN5L,PEN 88.81,4.3 out of 5 stars,https://www.amazon.com/-/es/dp/B0FG39GN5L/
B0CRDNRYCV,PEN 403.51,4.0 out of 5 stars,https://www.amazon.com/-/es/dp/B0CRDNRYCV/
B0G5228QWD,PEN 68.31,4.3 out of 5 stars,https://www.amazon.com/-/es/dp/B0G5228QWD/
